Exercise,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment ,Posture,Single or Double Arm,Continuous or Alternating  ,Grip
Double Dumbbell Overhead Russian Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Dumbbell,Single Leg Standing Bent Knee,Double Arm,Continuous,Neutral
Single Arm Dumbbell Front Rack Contralateral Russian Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Dumbbell,Single Leg Standing Bent Knee,Single Arm,Continuous,Neutral
Single Arm Dumbbell Front Rack Ipsilateral Russian Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Dumbbell,Single Leg Standing Bent Knee,Single Arm,Continuous,Neutral
Single Arm Macebell Order Contralateral Russian Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Macebell,Single Leg Standing Bent Knee,Single Arm,Continuous,Neutral
Single Arm Macebell Order Ipsilateral Russian Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Macebell,Single Leg Standing Bent Knee,Single Arm,Continuous,Neutral
Macebell Order Russian Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Macebell,Single Leg Standing Bent Knee,Double Arm,Continuous,Neutral
Macebell Order Alternating Russian Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Macebell,Single Leg Standing Bent Knee,Double Arm,Continuous,Neutral
Barbell Zercher Russian Step Up,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Barbell,Single Leg Standing Bent Knee,Double Arm,Continuous,No Grip
Barbell Zercher Alternating Russian Step Up,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Barbell,Single Leg Standing Bent Knee,Double Arm,Continuous,No Grip
Bulgarian Bag Back Rack Russian Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Bulgarian Bag,Single Leg Standing Bent Knee,Double Arm,Continuous,Neutral
Bulgarian Bag Back Rack Alternating Russian Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Bulgarian Bag,Single Leg Standing Bent Knee,Double Arm,Continuous,Neutral
Sandbag Back Rack Russian Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Sandbag,Single Leg Standing Bent Knee,Double Arm,Continuous,Neutral
Sandbag Back Rack Alternating Russian Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Sandbag,Single Leg Standing Bent Knee,Double Arm,Continuous,Neutral
Sandbag Front Rack Russian Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Sandbag,Single Leg Standing Bent Knee,Double Arm,Continuous,Neutral
Sandbag Front Rack Alternating Russian Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Sandbag,Single Leg Standing Bent Knee,Double Arm,Continuous,Neutral
Plate Overhead Russian Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Weight Plate,Single Leg Standing Bent Knee,Double Arm,Continuous,Neutral
Plate Overhead Alternating Russian Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Weight Plate,Single Leg Standing Bent Knee,Double Arm,Continuous,Neutral
Double Kettlebell Front Rack Alternating Russian Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Kettlebell,Single Leg Standing Bent Knee,Double Arm,Continuous,Neutral
Double Kettlebell Bottoms Up Front Rack Alternating Russian Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Kettlebell,Single Leg Standing Bent Knee,Double Arm,Continuous,Bottoms Up
Double Kettlebell Overhead Alternating Russian Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Kettlebell,Single Leg Standing Bent Knee,Double Arm,Continuous,Pronated
Double Kettlebell Bottoms Up Overhead Alternating Russian Step Up,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Kettlebell,Single Leg Standing Bent Knee,Double Arm,Continuous,Bottoms Up
Double Kettlebell Suitcase Alternating Russian Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Kettlebell,Single Leg Standing Bent Knee,Double Arm,Continuous,Neutral
Kettlebell Goblet Russian Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Kettlebell,Single Leg Standing Bent Knee,Double Arm,Continuous,Goblet
Kettlebell Goblet Alternating Russian Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Kettlebell,Single Leg Standing Bent Knee,Double Arm,Continuous,Goblet
Dumbbell Goblet Russian Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Dumbbell,Single Leg Standing Bent Knee,Double Arm,Continuous,Goblet
Dumbbell Goblet Alternating Russian Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Dumbbell,Single Leg Standing Bent Knee,Double Arm,Continuous,Goblet
Kettlebell Horn Grip Russian Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Kettlebell,Single Leg Standing Bent Knee,Double Arm,Continuous,Horn Grip
Kettlebell Horn Grip Alternating Russian Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Kettlebell,Single Leg Standing Bent Knee,Double Arm,Continuous,Horn Grip
Miniband Hip Thrust,Beginner,Glutes,Gluteus Maximus,Biceps Femoris,Quadriceps Femoris,Miniband,Bridge,No Arms,Continuous,No Grip
Heavy Sandbag Bear Hug Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Heavy Sandbag,Standing,Double Arm,Continuous,Neutral
Heavy Sandbag Bear Hug Alternating Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Heavy Sandbag,Standing,Double Arm,Continuous,Neutral
Heavy Sandbag Bear Hug Russian Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Heavy Sandbag,Single Leg Standing Bent Knee,Double Arm,Continuous,Neutral
Heavy Sandbag Bear Hug Alternating Russian Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Heavy Sandbag,Single Leg Standing Bent Knee,Double Arm,Continuous,Neutral
Alternating Single Arm Macebell Reverse Mill,Advanced,Shoulders,Posterior Deltoids,Rectus Abdominis,,Macebell,Standing,Single Arm,Alternating,Neutral
Ring Grip Straddle Planche,Grand Master,Abdominals,Rectus Abdominis,,,Gymnastic Rings,Prone,Double Arm,Continuous,Neutral
Single Arm Kettlebell Dead Clean to Overhead Press,Intermediate,Shoulders,Anterior Deltoids,,,Kettlebell,Standing,Single Arm,Continuous,Pronated
Single Arm Kettlebell Dead Clean to Push Press,Intermediate,Shoulders,Anterior Deltoids,,,Kettlebell,Standing,Single Arm,Continuous,Pronated
Single Arm Kettlebell Clean to Front Rack Ipsilateral Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Single Arm,Continuous,Neutral
Single Arm Kettlebell Clean to Front Rack Ipsilateral Forward Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Single Arm,Continuous,Neutral
Single Arm Kettlebell Dead Clean to Push Jerk,Intermediate,Shoulders,Anterior Deltoids,,,Kettlebell,Standing,Single Arm,Continuous,Pronated
Double Kettlebell Dead Clean to Push Jerk,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,Standing,Double Arm,Continuous,Pronated
Single Arm Kettlebell Bottoms Up Dead Clean,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,Rectus Abdominis,Kettlebell,Standing,Single Arm,Continuous,Bottoms Up
Alternating Single Arm Kettlebell Bottoms Up Dead Clean,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,Rectus Abdominis,Kettlebell,Standing,Single Arm,Alternating,Bottoms Up
Single Arm Kettlebell Dead Clean to Front Rack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,Standing,Single Arm,Continuous,Neutral
Single Arm Kettlebell Dead Clean to Thruster,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Standing,Single Arm,Continuous,Pronated
Alternating Single Arm Kettlebell Dead Clean to Thruster,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Standing,Single Arm,Alternating,Pronated
Alternating Single Arm Kettlebell Dead Clean to Overhead Press,Intermediate,Shoulders,Anterior Deltoids,,,Kettlebell,Standing,Single Arm,Alternating,Pronated
Alternating Single Arm Kettlebell Dead Clean to Push Press,Intermediate,Shoulders,Anterior Deltoids,,,Kettlebell,Standing,Single Arm,Alternating,Pronated
Alternating Single Arm Kettlebell Dead Clean to Push Jerk,Intermediate,Shoulders,Anterior Deltoids,,,Kettlebell,Standing,Single Arm,Alternating,Pronated
Alternating Single Arm Kettlebell Dead Clean to Front Rack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,Standing,Single Arm,Alternating,Neutral
Single Arm Macebell Bull Whip to Mill,Advanced,Shoulders,Posterior Deltoids,Rectus Abdominis,,Macebell,Staggered Stance,Single Arm,Continuous,Neutral
Double Kettlebell Bottoms Up Overhead Split Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Split Squat,Double Arm,Continuous,Bottoms Up
Heavy Sandbag Bear Hug Kang Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Heavy Sandbag,Standing,Double Arm,Continuous,Neutral
Double Dumbbell Feet Elevated Renegade Row,Advanced,Back,Latissimus Dorsi,,,Dumbbell,Prone,Double Arm,Alternating,Neutral
Double Dumbbell Feet Elevated Renegade Row to Push Up,Advanced,Back,Latissimus Dorsi,,,Dumbbell,Prone,Double Arm,Alternating,Neutral
Double Dumbbell Suitcase Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,Standing,Double Arm,Continuous,Neutral
Barbell Front Rack Forward Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Barbell,Standing,Double Arm,Continuous,Pronated
Barbell Overhead Forward Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Barbell,Standing,Double Arm,Continuous,Pronated
Heavy Sandbag Bear Hug Forward Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Brachii,Heavy Sandbag,Standing,Double Arm,Continuous,Neutral
Heavy Sandbag Shoulder Contralateral Forward Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Heavy Sandbag,Standing,Single Arm,Continuous,Neutral
Barbell Back Rack Forward Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Barbell,Standing,Double Arm,Continuous,Pronated
Double Kettlebell Suitcase Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Double Arm,Continuous,Neutral
Double Kettlebell Front Rack Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Double Arm,Continuous,Neutral
Double Kettlebell Bottoms Up Front Rack Forward Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Double Arm,Continuous,Bottoms Up
Double Dumbbell Front Rack Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,Standing,Double Arm,Continuous,Neutral
Double Dumbbell Overhead Forward Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,Standing,Double Arm,Continuous,Neutral
Single Arm Dumbbell Suitcase Contralateral Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,Standing,Single Arm,Continuous,Neutral
Single Arm Dumbbell Front Rack Contralateral Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,Standing,Single Arm,Continuous,Neutral
Single Arm Dumbbell Overhead Contralateral Forward Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,Standing,Single Arm,Continuous,Neutral
Double Kettlebell Overhead Forward Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Double Arm,Continuous,Pronated
Dumbbell Goblet Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,Standing,Double Arm,Continuous,Goblet
Clubbell Order Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Clubbell,Standing,Double Arm,Continuous,Neutral
Double Clubbell Order Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Clubbell,Standing,Double Arm,Continuous,Neutral
Single Arm Clubbell Order Contralateral Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Clubbell,Standing,Single Arm,Continuous,Neutral
Macebell Order Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Macebell,Standing,Double Arm,Continuous,Neutral
Double Kettlebell Bottoms Up Overhead Forward Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Double Arm,Continuous,Bottoms Up
Single Arm Kettlebell Suitcase Contralateral Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Single Arm,Continuous,Neutral
Bodyweight Forward Lunge,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Bodyweight,Standing,No Arms,Continuous,No Grip
Bulgarian Bag Back Rack Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Bulgarian Bag,Standing,Double Arm,Continuous,Neutral
Sandbag Front Rack Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sandbag,Standing,Double Arm,Continuous,Neutral
Plate Overhead Forward Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Weight Plate,Standing,Double Arm,Continuous,Neutral
Single Arm Kettlebell Front Rack Contralateral Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Single Arm,Continuous,Neutral
Single Arm Kettlebell Bottoms Up Front Rack Contralateral Forward Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Single Arm,Continuous,Bottoms Up
Single Arm Kettlebell Overhead Contralateral Forward Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Single Arm,Continuous,Pronated
Single Arm Kettlebell Bottoms Up Overhead Contralateral Forward Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Single Arm,Continuous,Bottoms Up
Kettlebell Goblet Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Double Arm,Continuous,Goblet
Kettlebell Horn Grip Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Double Arm,Continuous,Horn Grip
Barbell Zercher Forward Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Barbell,Standing,Double Arm,Continuous,No Grip
Single Arm Dumbbell Suitcase Ipsilateral Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,Standing,Single Arm,Continuous,Neutral
Single Arm Dumbbell Front Rack Ipsilateral Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,Standing,Single Arm,Continuous,Neutral
Single Arm Dumbbell Overhead Ipsilateral Forward Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,Standing,Single Arm,Continuous,Neutral
Single Arm Clubbell Order Ipsilateral Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Clubbell,Standing,Single Arm,Continuous,Neutral
Single Arm Kettlebell Suitcase Ipsilateral Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Single Arm,Continuous,Neutral
Single Arm Kettlebell Front Rack Ipsilateral Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Single Arm,Continuous,Neutral
Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Forward Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Single Arm,Continuous,Bottoms Up
Single Arm Kettlebell Overhead Ipsilateral Forward Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Single Arm,Continuous,Pronated
Single Arm Kettlebell Bottoms Up Overhead Ipsilateral Forward Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Single Arm,Continuous,Bottoms Up
Alternating Single Arm Dumbbell Plank Pull Through,Intermediate,Abdominals,Rectus Abdominis,Obliques,,Dumbbell,Prone,Single Arm,Alternating,Pronated
Alternating Single Arm Dumbbell Feet Elevated Plank Pull Through,Intermediate,Abdominals,Rectus Abdominis,Obliques,,Dumbbell,Prone,Single Arm,Alternating,Pronated
Landmine Cyclist Thruster,Intermediate,Quadriceps,Quadriceps Femoris,Anterior Deltoids,,Landmine,Standing,Double Arm,Continuous,Neutral
Single Arm Landmine Cyclist Thruster,Intermediate,Quadriceps,Quadriceps Femoris,Anterior Deltoids,,Landmine,Standing,Single Arm,Continuous,Neutral
Clubbell Swing,Novice,Glutes,Gluteus Maximus,,,Clubbell,Standing,Double Arm,Continuous,Pronated
Macebell Half Battle Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Obliques,Macebell,Standing,Double Arm,Continuous,Neutral
Clubbell Order Pivot Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Clubbell,Split Squat,Double Arm,Continuous,Neutral
Macebell Order Pivot Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Macebell,Split Squat,Double Arm,Continuous,Neutral
Bodyweight Plate Assisted Hip Airplane,Intermediate,Glutes,Gluteus Medius,Gluteus Minimus,,Bodyweight,Standing,Double Arm,Continuous,Hand Assisted
Macebell Battle Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Obliques,Macebell,Standing,Double Arm,Continuous,Neutral
Single Arm Kettlebell Tactical Half Snatch,Advanced,Glutes,Gluteus Maximus,Biceps Femoris,Anterior Deltoids ,Kettlebell,Standing,Single Arm,Alternating,Pronated
Heavy Sandbag Shoulder Ipsilateral Forward Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Heavy Sandbag,Standing,Single Arm,Continuous,Neutral
Barbell Tall Kneeling Cuban Rotation,Intermediate,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Barbell,Tall Kneeling,Double Arm,Continuous,Pronated
Barbell Cuban Rotation,Intermediate,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Barbell,Standing,Double Arm,Continuous,Pronated
Alternating Single Arm Landmine Tall Kneeling Shoulder Press,Intermediate,Shoulders,Anterior Deltoids,,,Landmine,Tall Kneeling,Single Arm,Alternating,Neutral
Barbell Feet Elevated Glute Bridge,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,Erector Spinae,Barbell,Bridge,Double Arm,Continuous,Pronated
Single Arm Kettlebell Tactical Snatch to Overhead Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Single Arm,Alternating,Pronated
Bodyweight Push Up to Alternating Lateral Kick Through,Intermediate,Chest,Pectoralis Major,Rectus Abdominis,,Bodyweight,Prone,Double Arm,Alternating,Flat Palm
Double Dumbbell Single Leg Romanian Deadlift,Intermediate,Hamstrings,Biceps Femoris,Gluteus Maximus,Obliques,Dumbbell,Single Leg Standing,Double Arm,Continuous,Neutral
Single Arm Dumbbell Contralateral Single Leg Romanian Deadlift,Intermediate,Hamstrings,Biceps Femoris,Gluteus Maximus,Obliques,Dumbbell,Single Leg Standing,Single Arm,Continuous,Neutral
Dumbbell Crush Grip Single Leg Romanian Deadlift,Intermediate,Hamstrings,Biceps Femoris,Gluteus Maximus,Obliques,Dumbbell,Single Leg Standing,Double Arm,Continuous,Crush Grip
Alternating Double Clubbell Pullover,Novice,Back,Latissimus Dorsi,Posterior Deltoids,Triceps Brachii,Clubbell,Standing,Double Arm,Alternating,Neutral
Barbell Tall Kneeling Bicep Curl,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Barbell,Tall Kneeling,Double Arm,Continuous,Supinated
